id,combo,source NP,premise,hypothesis,label
341,sub-pri,a national anti-government protest,This is a national anti-government protest.,This is a national protest.,entailment
342,int-pri,an original mistaken diagnosis,This is an original mistaken diagnosis.,This is an original diagnosis.,entailment
343,pri-pri,red plastic flowers,Those are red plastic flowers.,Those are plastic flowers.,entailment
344,sub-int,a bad European neighbor,This is a bad European neighbor.,This is a neighbor.,entailment
345,pri-pri,her past broken promises,Those are her past broken promises.,Those are her past promises.,entailment
346,pri-sub,an initial domestic agenda,This is an initial domestic agenda.,This is an agenda.,entailment
347,pri-sub,partial late payments,These are partial late payments.,These are payments.,entailment
348,sub-sub,a pretty ugly divorce,This is a pretty ugly divorce.,This is a divorce.,entailment
349,sub-int,small black eyes,He has small black eyes.,He has black eyes.,entailment
350,pri-sub,a partial permanent barrier,This is a partial permanent barrier.,This is a partial barrier.,entailment
351,pri-sub,a seeming minor decision,This is a seeming minor decision.,This is a decision.,entailment
352,int-sub,an angry old man,He is an angry old man.,He is an old man.,entailment
353,pri-sub,phony official statistics,They are phony official statistics.,They are phony statistics.,entailment
354,pri-sub,a previous presidential nominee,She is a previous presidential nominee.,She is a previous nominee.,entailment
355,sub-pri,Charles ' only apparent interest,This is Charles ' only apparent interest.,This is Charles ' interest.,entailment
356,sub-pri,its maximum potential value,This is its maximum potential value.,This is its potential value.,entailment
357,sub-pri,her many supposed friends,These are her many supposed friends.,These are her supposed friends.,entailment
358,pri-sub,a prior federal judge,She is a prior federal judge.,She is a prior judge.,entailment
359,int-sub,a real good workout,This is a real good workout.,This is a good workout.,entailment
360,pri-sub,a theoretical average salary,This is a theoretical average salary.,This is a salary.,entailment
361,sub-sub,a pretty ugly divorce,This is a pretty ugly divorce.,This is an ugly divorce.,entailment
362,sub-int,an attractive blond woman,She is an attractive blond woman.,She is an attractive woman.,entailment
363,sub-int,big green trash cans,These are big green trash cans.,These are trash cans.,entailment
364,sub-int,short blond hair,He has short blond hair.,He has short hair.,entailment
365,pri-pri,a disputed historic area,This is a disputed historic area.,This is a historic area.,entailment
366,sub-int,old orange groves,Those are old orange groves.,Those are orange groves.,entailment
367,pri-sub,a surrogate presidential campaign,This is a surrogate presidential campaign.,This is a campaign.,entailment
368,sub-sub,a beautiful young woman,She is a beautiful young woman.,She is a woman.,entailment
369,sub-int,big European banks,Those are big European banks.,Those are big banks.,entailment
370,pri-sub,a predicted hot condition,This is a predicted hot condition.,This is a predicted condition.,entailment
371,pri-pri,a historic temporary constitution,This is a historic temporary constitution.,This is a historic constitution.,entailment
372,pri-sub,an unofficial current status,This is an unofficial current status.,This is a status.,entailment
373,sub-pri,many improbable assumptions,These are many improbable assumptions.,These are assumptions.,entailment
374,sub-int,a tall 12-year-old child,He is a tall 12-year-old child.,He is a tall child.,entailment
375,pri-sub,our previous top picks,Those are our previous top picks.,Those are our previous picks.,entailment
376,sub-pri,a national counterfeit industry,This is a national counterfeit industry.,This is a counterfeit industry.,entailment
377,pri-sub,a fraudulent parliamentary election,This is a fraudulent parliamentary election.,This is a fraudulent election.,entailment
378,sub-pri,a maximum previous award,This is a maximum previous award.,This is an award.,entailment
379,int-sub,a single strong candidate,She is a single strong candidate.,She is a candidate.,entailment
380,pri-sub,so-called good junk-bond offerings,Those are so-called good junk-bond offerings.,Those are junk-bond offerings.,entailment
381,int-int,original American stage plays,Those are original American stage plays.,Those are American stage plays.,entailment
382,pri-sub,unofficial early results,These are unofficial early results.,These are unofficial results.,entailment
383,sub-pri,numerous mistaken interpretations,Those are numerous mistaken interpretations.,Those are interpretations.,entailment
384,sub-pri,a national anti-government protest,This is a national anti-government protest.,This is a protest.,entailment
385,pri-sub,an alleged ruthless criminal,He is an alleged ruthless criminal.,He is an alleged criminal.,entailment
386,pri-pri,its past wrong practices,Those are its past wrong practices.,Those are its practices.,entailment
387,sub-sub,a handsome young president,He is a handsome young president.,He is a young president.,entailment
388,pri-sub,an honorary technical advisor,She is an honorary technical advisor.,She is an honorary advisor.,entailment
389,sub-pri,the only possible answer,This is the only possible answer.,This is a possible answer.,entailment
390,pri-pri,a 69-year-old retired plastic surgeon,He is a 69-year-old retired plastic surgeon.,He is a 69-year-old retired surgeon.,entailment
391,int-pri,a natural next question,This is a natural next question.,This is a natural question.,entailment
392,sub-int,an attractive beginner golfer,He is an attractive beginner golfer.,He is a beginner golfer.,entailment
393,pri-sub,an initial minimum bid,This is an initial minimum bid.,This is a bid.,entailment
394,sub-sub,a big powerful nation,This is a big powerful nation.,This is a big nation.,entailment
395,sub-sub,boring old news,This is boring old news.,This is old news.,entailment
396,pri-sub,a mock common admission test,This is a mock common admission test.,This is a mock admission test.,entailment
397,sub-pri,numerous previous research efforts,Those are numerous previous research efforts.,Those are previous research efforts.,entailment
398,sub-sub,a top junior gymnast,She is a top junior gymnast.,She is a gymnast.,entailment
399,pri-pri,her past broken promises,Those are her past broken promises.,Those are her broken promises.,entailment
400,sub-pri,numerous fake invoices,These are numerous fake invoices.,These are fake invoices.,entailment
401,int-pri,a white paper book,This is a white paper book.,This is a book.,entailment
402,pri-sub,an imminent parliamentary election,This is an imminent parliamentary election.,This is an imminent election.,entailment
403,pri-sub,an apparent domestic dispute,This is an apparent domestic dispute.,This is a dispute.,entailment
404,pri-sub,initial technical standards,These are initial technical standards.,These are technical standards.,entailment
405,sub-pri,the admired super man,He is the admired super man.,He is the super man.,entailment
406,sub-int,a skillful American violinist,He is a skillful American violinist.,He is an American violinist.,entailment
407,pri-int,a so-called poisonous pill,This is a so-called poisonous pill.,This is a pill.,entailment
408,pri-sub,the assumed presidential nominee,He is the assumed presidential nominee.,He is the assumed nominee.,entailment
409,int-pri,a single prior conviction,This is a single prior conviction.,This is a conviction.,entailment
410,pri-pri,an experimental temporary solution,This is an experimental temporary solution.,This is a solution.,entailment
411,sub-int,a dangerous dead animal,This is a dangerous dead animal.,This is a dangerous animal.,entailment
412,sub-pri,a pitiful broken engagement,This is a pitiful broken engagement.,This is a broken engagement.,entailment
413,sub-int,a chief external spokesman,This is a chief external spokesman.,This is a spokesman.,entailment
414,sub-pri,a national military drill,This is a national military drill.,This is a national drill.,entailment
415,pri-int,an expected beneficial effect,This is an expected beneficial effect.,This is an expected effect.,entailment
416,sub-int,the company's third full year,This is the company's third full year.,This is a year.,entailment
417,sub-sub,a tall young buffalo hunter,He is a tall young buffalo hunter.,He is a young buffalo hunter.,entailment
418,pri-sub,counterfeit modern bills,Those are counterfeit modern bills.,Those are counterfeit bills.,entailment
419,pri-sub,an experimental alternative energy source,This is an experimental alternative energy source.,This is an experimental energy source.,entailment
420,pri-sub,an initial federal budget,This is an initial federal budget.,This is a budget.,entailment
421,pri-int,a false health gadget,This is a false health gadget.,This is a gadget.,entailment
422,pri-sub,an unofficial amateur event,This is an unofficial amateur event.,This is an event.,entailment
423,sub-sub,bright young Jews,They are bright young Jews.,They are bright Jews.,entailment
424,int-sub,a Swedish central statistics agency,This is a Swedish central statistics agency.,This is a central statistics agency.,entailment
425,pri-sub,a surrogate good son,He is a surrogate good son.,He is a surrogate son.,entailment
426,sub-int,a top environmental concern,This is a top environmental concern.,This is an environmental concern.,entailment
427,pri-sub,a fictional chief prosecutor,She is a fictional chief prosecutor.,She is a fictional prosecutor.,entailment
428,int-sub,an angry old man,He is an angry old man.,He is an angry man.,entailment
429,sub-sub,an old national campaign,This is an old national campaign.,This is a national campaign.,entailment
430,pri-sub,an unofficial northern boundary,This is an unofficial northern boundary.,This is an unofficial boundary.,entailment
431,sub-sub,a top junior gymnast,She is a top junior gymnast.,She is a junior gymnast.,entailment
432,pri-sub,a fictional common ancestor,This is a fictional common ancestor.,This is a fictional ancestor.,entailment
433,pri-sub,an impossible long shot,This is an impossible long shot.,This is a shot.,entailment
434,sub-sub,the first big wave,This is the first big wave.,This is a wave.,entailment
435,pri-pri,erroneous previous information,This is erroneous previous information.,This is information.,entailment
436,pri-sub,a burned technical vehicle,This is a burned technical vehicle.,This is a burned vehicle.,entailment
437,sub-int,a famous French painting,This is a famous French painting.,This is a painting.,entailment
438,sub-int,small American companies,Those are small American companies.,Those are companies.,entailment
439,pri-sub,prior outstanding deputy bills,These are prior outstanding deputy bills.,These are prior deputy bills.,entailment
440,sub-int,an attractive beginner golfer,He is an attractive beginner golfer.,He is a golfer.,entailment
441,pri-sub,a fictitious technical issue,This is a fictitious technical issue.,This is a fictitious issue.,entailment
442,pri-sub,a prior outstanding deputy bills,These are prior outstanding deputy bills.,These are prior deputy bills.,entailment
443,sub-int,his old brown coat,This is his old brown coat.,This is his old coat.,entailment
444,pri-sub,partial late payments,These are partial late payments.,These are late payments.,entailment
445,sub-sub,the third big aluminum company,This is the third big aluminum company.,This is an aluminum company.,entailment
446,pri-int,a denied access permission,This is denied access permission.,This is denied permission.,entailment
447,sub-int,his old brown coat,This is his old brown coat.,This is his coat.,entailment
448,pri-sub,past moral crises,These are past moral crises.,These are past crises.,entailment
449,int-sub,a Western top official,He is a Western top official.,He is an official.,entailment
450,pri-sub,a presumed specific principle,This is a presumed specific principle.,This is a presumed principle.,entailment
451,sub-sub,the third big aluminum company,This is the third big aluminum company.,This is a big aluminum company.,entailment
452,int-sub,an Australian amateur competition,This is an Australian amateur competition.,This is a competition.,entailment
453,pri-sub,An erroneous first name,This is An erroneous first name.,This is a name.,entailment
454,pri-sub,a would-be lead blocker,This is a would-be lead blocker.,This is a would-be blocker.,entailment
455,pri-sub,a previous official record,This is a previous official record.,This is a previous record.,entailment
456,pri-sub,a mock parliamentary debate,This is a mock parliamentary debate.,This is a mock debate.,entailment
457,sub-int,a small black pig,It is a small black pig.,It is a small pig.,entailment
458,sub-int,their spiffy new blue uniforms,Those are their spiffy new blue uniforms.,Those are their spiffy uniforms.,entailment
459,sub-pri,many supposed solutions,These are many supposed solutions.,These are supposed solutions.,entailment
460,pri-sub,an erroneous national intelligence estimate,This is an erroneous national intelligence estimate.,This is an intelligence estimate.,entailment
461,pri-sub,an unlikely sweet dream,This is an unlikely sweet dream.,This is a dream.,entailment
462,int-sub,Western soft coal,This is Western soft coal.,This is soft coal.,entailment
463,sub-sub,a new regional contract,This is a new regional contract.,This is a new contract.,entailment
464,sub-pri,many onetime supporters,They are many onetime supporters.,They are onetime supporters.,entailment
465,pri-sub,a dubious strategic gambit,This is a dubious strategic gambit.,This is a gambit.,entailment
466,int-pri,an original mistaken diagnosis,This is an original mistaken diagnosis.,This is a mistaken diagnosis.,entailment
467,sub-int,bright red hair,She has bright red hair.,She has red hair.,entailment
468,int-pri,an original false charge,This is an original false charge.,This is a false charge.,entailment
469,int-pri,a natural next step,This is a natural next step.,This is a natural step.,entailment
470,sub-pri,a national rubber producer,This is a national rubber producer.,This is a rubber producer.,entailment
471,sub-sub,a big old house,This is a big old house.,This is an old house.,entailment
472,sub-int,a famous American painter,She is a famous American painter.,She is an American painter.,entailment
473,pri-sub,broken presidential promises,These are broken presidential promises.,These are presidential promises.,entailment
474,pri-sub,a plausible new product,This is a plausible new product.,This is a plausible product.,entailment
475,sub-int,the only original works,Those are the only original works.,Those are works.,entailment
476,sub-pri,her numerous fake names,These are her numerous fake names.,These are her fake names.,entailment
477,pri-int,a demolished damaged house,This is a demolished damaged house.,This is a demolished house.,entailment
478,pri-sub,a plausible big idea,This is a plausible big idea.,This is a plausible idea.,entailment
479,sub-int,a big black plume,This is a big black plume.,This is a big plume.,entailment
480,sub-sub,good new products,Those are good new products.,Those are products.,entailment
481,sub-int,a tall 12-year-old child,He is a tall 12-year-old child.,He is a child.,entailment
482,sub-pri,our numerous onetime supporters,They are our numerous onetime supporters.,They are our onetime supporters.,entailment
483,int-pri,a handmade empty glass,This is a handmade empty glass.,This is a glass.,entailment
484,pri-sub,an honorary technical advisor,She is an honorary technical advisor.,She is an advisor.,entailment
485,pri-sub,a substitute long snapper,This is a substitute long snapper.,This is a snapper.,entailment
486,sub-sub,a big old house,This is a big old house.,This is a house.,entailment
487,pri-pri,an initial virtual flight,This is an initial virtual flight.,This is a virtual flight.,entailment
488,sub-int,a short American basketball player,He is a short American basketball player.,He is an American basketball player.,entailment
489,sub-sub,his first good look,This is his first good look.,This is a good look.,entailment
490,pri-sub,a plausible recent report,This is a plausible recent report.,This is a plausible report.,entailment
491,sub-int,a heavy newborn baby,She is a heavy newborn baby.,She is a baby.,entailment
492,sub-int,an alternative scientific theory,This is an alternative scientific theory.,This is a theory.,entailment
493,pri-int,a broken glass window,This is a broken glass window.,This is a window.,entailment
494,int-sub,a Swedish central statistics agency,This is a Swedish central statistics agency.,This is a statistics agency.,entailment
495,sub-int,a narrow American strategy,This is a narrow American strategy.,This is an American strategy.,entailment
496,sub-int,his old brown coat,This is his old brown coat.,This is his brown coat.,entailment
497,pri-pri,fraudulent medical claims,These are fraudulent medical claims.,These are claims.,entailment
498,sub-pri,many wrong decisions,These are many wrong decisions.,These are wrong decisions.,entailment
499,pri-sub,a presumed serious mental health problem,This is a presumed serious mental health problem.,This is a presumed mental health problem.,entailment
500,int-sub,an American small business,This is an American small business.,This is an American business.,entailment
501,pri-pri,the next probable champion,He is the next probable champion.,He is the probable champion.,entailment
502,sub-sub,good young players,They are good young players.,They are good players.,entailment
503,sub-sub,an ugly young actress,She is an ugly young actress.,She is a young actress.,entailment
504,pri-sub,an initial high price,This is an initial high price.,This is a price.,entailment
505,pri-sub,an erroneous national intelligence estimate,This is an erroneous national intelligence estimate.,This is a national intelligence estimate.,entailment
506,sub-int,a famous American dancer,She is a famous American dancer.,She is a dancer.,entailment
507,sub-sub,good young players,They are good young players.,They are players.,entailment
508,pri-pri,a disputed historic area,This is a disputed historic area.,This is an area.,entailment
509,sub-int,a short American ping-pong player,He is a short American ping-pong player.,He is a short ping-pong player.,entailment
510,pri-sub,an impossible moral choice,This is an impossible moral choice.,This is a choice.,entailment
511,sub-sub,his second young partner,She is his second young partner.,She is his partner.,entailment
512,pri-pri,a retired plastic surgeon,He is a retired plastic surgeon.,He is a retired surgeon.,entailment
513,sub-int,clear blue eyes,He has clear blue eyes.,He has eyes.,entailment
514,sub-int,my first real involvement,This is my first real involvement.,This is a real involvement.,entailment
515,pri-sub,a forged Iranian diplomatic passport,This is a forged Iranian diplomatic passport.,This is a forged Iranian passport.,entailment
516,int-sub,an Australian amateur competition,This is an Australian amateur competition.,This is an Australian competition.,entailment
517,pri-sub,a retired short seller,He is a retired short seller.,He is a retired seller.,entailment
518,sub-pri,numerous phony celebrities,They are numerous phony celebrities.,They are phony celebrities.,entailment
519,sub-int,a new Renaissance exhibit,This is a new Renaissance exhibit.,This is a Renaissance exhibit.,entailment
520,pri-sub,a retired federal lawyer,He is a retired federal lawyer.,He is a retired lawyer.,entailment
521,sub-int,a plain American student,She is a plain American student.,She is an American student.,entailment
522,int-pri,a Brazilian fictional film,This is a Brazilian fictional film.,This is a Brazilian film.,entailment
523,pri-sub,a probable easy fix,This is a probable easy fix.,This is a probable fix.,entailment
524,pri-sub,a disputed parliamentary election result,This is a disputed parliamentary election result.,This is an election result.,entailment
525,pri-sub,a mock early surrender,This is a mock early surrender.,This is a mock surrender.,entailment
526,pri-sub,an honorary assistant coach,He is an honorary assistant coach.,He is an assistant coach.,entailment
527,int-sub,Western soft coal,This is Western soft coal.,This is Western coal.,entailment
528,sub-sub,a tall young buffalo hunter,He is a tall young buffalo hunter.,He is a tall buffalo hunter.,entailment
529,sub-sub,new preferred stock,This is new preferred stock.,This is stock.,entailment
530,int-sub,Western popular music,This is Western popular music.,This is music.,entailment
531,pri-sub,artificial cool air,This is artificial cool air.,This is artificial air.,entailment
532,sub-pri,a national surrogate speaker,She is a national surrogate speaker.,She is a surrogate speaker.,entailment
533,sub-pri,low initial ratings,Those are low initial ratings.,Those are ratings.,entailment
534,pri-sub,a presumed common origin,This is a presumed common origin.,This is a presumed origin.,entailment
535,sub-pri,numerous failed cease-fires,These are numerous failed cease-fires.,These are failed cease-fires.,entailment
536,pri-pri,simulated mock executions,These are simulated mock executions.,These are simulated executions.,entailment
537,sub-pri,a promised perfect future state,This is a promised perfect future state.,This is a promised future state.,entailment
538,pri-sub,a hypothetical ninth season,This is a hypothetical ninth season.,This is a hypothetical season.,entailment
539,sub-int,small black eyes,He has small black eyes.,He has eyes.,entailment
540,sub-int,a tall 12-year-old child,He is a tall 12-year-old child.,He is a child.,entailment
541,sub-int,an attractive blond girl,She is an attractive blond girl.,She is an attractive girl.,entailment
542,pri-sub,a wooden left leg,This is a wooden left leg.,This is a wooden leg.,entailment
543,int-pri,A single wooden chair,This is A single wooden chair.,This is a wooden chair.,entailment
544,sub-pri,a maximum nominal amount,This is a maximum nominal amount.,This is a nominal amount.,entailment
545,sub-sub,a tall young man,He is a tall young man.,He is a man.,entailment
546,pri-sub,a fictitious technical issue,This is a fictitious technical issue.,This is a fictitious issue.,entailment
547,sub-int,a small red radish,This is a small red radish.,This is a small radish.,entailment
548,int-pri,a single wooden chair,This is a single wooden chair.,This is a chair.,entailment
549,sub-int,a top environmental concern,This is a top environmental concern.,This is an environmental concern.,entailment
550,sub-int,the first black principal owners,They are the first black principal owners.,They are principal owners.,entailment
551,sub-sub,the only professional instruction,This is the only professional instruction.,This is an instruction.,entailment
552,pri-sub,an impossible high standard,This is an impossible high standard.,This is a high standard.,entailment
553,int-sub,a Swedish national coach,He is a Swedish national coach.,He is a coach.,entailment
554,pri-sub,an artificial high return,This is an artificial high return.,This is an artificial return.,entailment
555,pri-sub,mock parliamentary debates,These are mock parliamentary debates.,These are mock debates.,entailment
556,sub-int,regional religious conflicts,These are regional religious conflicts.,These are conflicts.,entailment
557,pri-pri,a possible incorrect wind measurement,This is a possible incorrect wind measurement.,This is a wind measurement.,entailment
558,pri-pri,nominal historic peaks,Those are nominal historic peaks.,Those are historic peaks.,entailment
559,sub-int,a big blue grass fan,This is a big bluegrass fan.,This is a fan.,entailment
560,sub-sub,the first big wave,This is the first big wave.,This is a big wave.,entailment
561,sub-sub,a good beginner boxer,He is a good beginner boxer.,He is a boxer.,entailment
562,pri-pri,a likely next speaker,She is the likely next speaker.,She is the likely speaker.,entailment
563,sub-int,a famous American painter,She is a famous American painter.,She is a famous painter.,entailment
564,sub-int,the first free republic,This is the first free republic.,This is a free republic.,entailment
565,pri-sub,initial technical standards,These are initial technical standards.,These are standards.,entailment
566,pri-sub,a virtual musical instrument,This is a virtual musical instrument.,This is a virtual instrument.,entailment
567,pri-pri,fraudulent medical claims,These are fraudulent medical claims.,These are fraudulent claims.,entailment
568,pri-pri,incorrect initial decisions,Those are incorrect initial decisions.,Those are incorrect decisions.,entailment
569,pri-pri,an almost empty house,This is an almost empty house.,This is a house.,entailment
570,sub-int,their first major American purchase,This is their first major American purchase.,This is a major purchase.,entailment
571,sub-pri,a national anti-terror military drill,This is a national anti-terror military drill.,This is an anti-terror drill.,entailment
572,int-sub,Western soft coal,This is Western soft coal.,This is coal.,entailment
573,pri-sub,a plausible first strike,This is a plausible first strike.,This is a plausible strike.,entailment
574,pri-sub,an improbable high return,This is an improbable high return.,This is a return.,entailment
575,sub-int,a big full backyard,This is a big full backyard.,This is a full backyard.,entailment
576,int-sub,Western popular music,This is Western popular music.,This is Western music.,entailment
577,int-sub,a Western Australian junior player,She is a Western Australian junior player.,She is a Western Australian player.,entailment
578,pri-sub,a previous official record,This is a previous official record.,This is a record.,entailment
579,sub-int,our first real reunion,This is our first real reunion.,This is our real reunion.,entailment
580,pri-pri,the so-called imminent danger,This is the so-called imminent danger.,This is the so-called danger.,entailment
581,int-int,a scarred Iranian soldier,He is a scarred Iranian soldier.,He is a soldier.,entailment
582,sub-int,short blond hair,He has short blond hair.,He has hair.,entailment
583,pri-pri,the former vice chairman,He is the former vice chairman.,He is the former chairman.,non-entailment
584,pri-pri,the former vice chairman,He is the former vice chairman.,He is the vice chairman.,non-entailment
585,pri-pri,the former vice chairman,He is the former vice chairman.,He is the chairman.,non-entailment
586,pri-pri,the future deputy administrator,She is the future deputy administrator.,She is the deputy administrator.,non-entailment
587,pri-pri,the future deputy administrator,She is the future deputy administrator.,She is the administrator.,non-entailment
588,pri-pri,the so-called artificial intelligence,This is the so-called artificial intelligence.,This is artificial intelligence.,non-entailment
589,pri-pri,the simulated virtual reality,This is simulated virtual reality.,This is reality.,non-entailment
590,pri-pri,the 52-year-old former deputy director,She is the 52-year-old former deputy director.,She is the 52-year-old deputy director.,non-entailment
591,pri-pri,the 52-year-old former deputy director,She is the 52-year-old former deputy director.,She is the 52-year-old director.,non-entailment
592,pri-pri,the proposed initial public offering,This is the proposed initial public offering.,This is the initial public offering.,non-entailment
593,pri-pri,possible future purchases,Those are possible future purchases.,Those are future purchases.,non-entailment
594,pri-pri,the company's likely future performance,This is the company's likely future performance.,This is the company's future performance.,non-entailment
595,pri-pri,the company's likely future performance,This is the company's likely future performance.,This is the company's performance.,non-entailment
596,pri-pri,almost half a kilo,This is almost half a kilo.,This is almost a kilo.,non-entailment
597,pri-pri,almost half a kilo,This is almost half a kilo.,This is half a kilo.,non-entailment
598,pri-pri,almost half a kilo,This is almost half a kilo.,This is a kilo.,non-entailment
599,pri-pri,an almost impossible job,This is an almost impossible job.,This is an impossible job.,non-entailment
600,pri-pri,a likely temporary solution,This is a likely temporary solution.,This is a solution.,non-entailment
601,pri-pri,a former alleged thief,This is a former alleged thief.,This is a former thief.,non-entailment
602,pri-pri,a former alleged thief,This is a former alleged thief.,This is an alleged thief.,non-entailment
603,pri-pri,a former alleged thief,This is a former alleged thief.,This is a thief.,non-entailment
604,pri-pri,an alleged former thief,This is an alleged former thief.,This is a thief.,non-entailment
605,pri-int,an alleged male criminal,He is an alleged male criminal.,He is a criminal.,non-entailment
606,pri-int,a so-called American expert,She is a so-called American expert.,She is an American expert.,non-entailment
607,pri-int,a so-called American expert,She is a so-called American expert.,She is an expert.,non-entailment
608,pri-int,a former European commissioner,He is a former European commissioner.,He is a European commissioner.,non-entailment
609,pri-int,a former European commissioner,He is a former European commissioner.,He is a commissioner.,non-entailment
610,pri-int,a former Australian owner,She is a former Australian owner.,She is an Australian owner.,non-entailment
611,pri-int,our next popular star,She is our next popular star.,She is our popular star.,non-entailment
612,pri-int,a fake rhinestone diamond,This is a fake rhinestone diamond.,This is a diamond.,non-entailment
613,pri-int,an expected financial surge,This is an expected financial surge.,This is a financial surge.,non-entailment
614,pri-int,half a kilo,This is half a kilo.,This is a kilo.,non-entailment
615,pri-int,an alleged racial discrimination,This is an alleged racial discrimination.,This is a racial discrimination.,non-entailment
616,pri-int,an alleged racial discrimination,This is an alleged racial discrimination.,This is a discrimination.,non-entailment
617,pri-int,an alleged criminal breach,This is an alleged criminal breach.,This is a criminal breach.,non-entailment
618,pri-int,an alleged criminal breach,This is an alleged criminal breach.,This is a breach.,non-entailment
619,pri-int,an alleged racial inequality,This is an alleged racial inequality.,This is a racial inequality.,non-entailment
620,pri-int,an alleged racial inequality,This is an alleged racial inequality.,This is an inequality.,non-entailment
621,pri-int,an alleged discriminatory practice,This is an alleged discriminatory practice.,This is a discriminatory practice.,non-entailment
622,pri-int,a so-called poisonous pill,This is a so-called poisonous pill.,This is a poisonous pill.,non-entailment
623,pri-int,a false health gadget,This is a false health gadget.,This is a health gadget.,non-entailment
624,pri-int,the expected thermal intensity,This is the expected thermal intensity.,This is the thermal intensity.,non-entailment
625,pri-int,an expected Canadian move,This is an expected Canadian move.,This is a Canadian move.,non-entailment
626,pri-int,his future American wife,She is his future American wife.,She is his American wife.,non-entailment
627,pri-int,his future American wife,She is his future American wife.,She is his wife.,non-entailment
628,pri-sub,an alleged ruthless criminal,He is an alleged ruthless criminal.,He is a ruthless criminal.,non-entailment
629,pri-sub,a potential professional talent,This is a potential professional talent.,This is a professional talent.,non-entailment
630,pri-sub,a likely first step,This is a likely first step.,This is the first step.,non-entailment
631,pri-sub,the former national security adviser,She is the former national security adviser.,She is the national security adviser.,non-entailment
632,pri-sub,the former national security adviser,She is the former national security adviser.,She is the security adviser.,non-entailment
633,pri-sub,the former senior president,He is the former senior president.,He is the senior president.,non-entailment
634,pri-sub,the former senior president,He is the former senior president.,He is the president.,non-entailment
635,pri-sub,his potential second wife,She is his potential second wife.,She is his second wife.,non-entailment
636,pri-sub,his potential second wife,She is his potential second wife.,She is his wife.,non-entailment
637,pri-sub,the deputy national security adviser,He is the deputy national security adviser.,He is the national security adviser.,non-entailment
638,pri-sub,possible deep structural damage,This is possible deep structural damage.,This is deep structural damage.,non-entailment
639,pri-sub,an unlikely big spender,This is an unlikely big spender.,This is a big spender.,non-entailment
640,pri-sub,a proposed new company,This is a proposed new company.,This is a new company.,non-entailment
641,pri-sub,a former beautiful actress,She is a former beautiful actress.,She is a beautiful actress.,non-entailment
642,pri-sub,a former skillful surgeon,He is a former skillful surgeon.,He is a skillful surgeon.,non-entailment
643,pri-sub,an imaginary powerful enemy,He is an imaginary powerful enemy.,He is a powerful enemy.,non-entailment
644,pri-sub,an arguable perfect solution,This is an arguable perfect solution.,This is a perfect solution.,non-entailment
645,pri-sub,the deputy chief economic adviser,She is the deputy chief economic adviser.,She is the chief economic adviser.,non-entailment
646,pri-sub,their expected average lifespan,This is their expected average lifespan.,This is their average lifespan.,non-entailment
647,pri-sub,their expected average lifespan,This is their expected average lifespan.,This is their lifespan.,non-entailment
648,pri-sub,a former famous actor,He is a former famous actor.,He is a famous actor.,non-entailment
649,pri-sub,the group's alleged earlier violation,This is the group's alleged earlier violation.,This is the group's earlier violation.,non-entailment
650,pri-sub,the group's alleged earlier violation,This is the group's alleged earlier violation.,This is the group's violation.,non-entailment
651,pri-sub,some so-called high-quality junk issues,Those are some so-called high-quality junk issues.,Those are some high-quality issues.,non-entailment
652,int-pri,a white paper plane,This is a white paper plane.,This is a white plane.,non-entailment
653,sub-pri,an expensive toy car,This is an expensive toy car.,This is an expensive car.,non-entailment
654,sub-pri,Phoenix's senior vice president,He is Phoenix's senior vice president.,He is Phoenix's senior president.,non-entailment
655,sub-pri,Phoenix's senior vice president,He is Phoenix's senior vice president.,He is Phoenix's president.,non-entailment
656,sub-pri,their only apparent difference,This is their only apparent difference.,This is their only difference.,non-entailment
657,sub-pri,its only nominal influence,This is its only nominal influence.,This is its only influence.,non-entailment
658,sub-pri,the minimum total potential energy,This is the minimum total potential energy.,This is the total potential energy.,non-entailment
659,sub-pri,the minimum total potential energy,This is the minimum total potential energy.,This is the total energy.,non-entailment
660,sub-pri,the only possible answer,This is the only possible answer.,This is the only answer.,non-entailment
661,sub-pri,a senior deputy manager,She is a senior deputy manager.,She is a senior manager.,non-entailment
662,sub-pri,Charles ' only apparent interest,This is Charles ' only apparent interest.,This is Charles ' only interest.,non-entailment
663,sub-pri,new potential customers,They are new potential customers.,They are new customers.,non-entailment
664,sub-pri,the only possible candidate,He is the only possible candidate.,He is the only candidate.,non-entailment
665,sub-pri,the highest expected return,This is the highest expected return.,This is the highest return.,non-entailment
666,sub-pri,the highest expected return,This is the highest expected return.,This is the return.,non-entailment
667,sub-pri,a famous former actor,He is a famous former actor.,He is a famous actor.,non-entailment
668,sub-pri,a famous former actor,He is a famous former actor.,He is an actor.,non-entailment
669,sub-pri,a scary mock execution,This is a scary mock execution.,This is a scary execution.,non-entailment
670,sub-pri,a scary mock execution,This is a scary mock execution.,This is an execution.,non-entailment
671,sub-int,our first real reunion,This is our first real reunion.,This is our first reunion.,non-entailment
672,sub-int,the first American war,This is the first American war.,This is the first war.,non-entailment
673,sub-int,New York's first black mayor,He is New York's first black mayor.,He is New York's first mayor.,non-entailment
674,sub-int,the first black principal owners,They are the first black principal owners.,They are the first principal owners.,non-entailment
675,sub-int,the only original works,Those are the only original works.,Those are the only works.,non-entailment
676,sub-int,a typical American girl,She is a typical American girl.,She is a typical girl.,non-entailment
677,sub-int,my first real involvement,This is my first real involvement.,This is my first involvement.,non-entailment
